word,reading,meaning,level
群落,ぐんらく,여러 마을,
軍医,ぐんい,군의관,
軍歌,ぐんか,군가,
軍拡,ぐんかく,군사 확장,
軍楽,ぐんがく,군악,
軍機,ぐんき,군사 기밀,
軍靴,ぐんか,군화,
軍港,ぐんこう,해군 항구,
軍国,ぐんこく,전쟁 중인 국가,
軍国主義,ぐんこくしゅぎ,군국주의,
軍資金,ぐんしきん,전쟁 자금,
軍手,ぐんて,면장갑,
軍需,ぐんじゅ,군수품,
軍縮,ぐんしゅく,군비 축소,
軍人,ぐんじん,군인,
軍勢,ぐんぜい,군대,
軍政,ぐんせい,군사 행정,
軍属,ぐんぞく,군사 고용 민간인,
軍団,ぐんだん,군단,
軍馬,ぐんば,군마,
軍配,ぐんばい,전략,
軍票,ぐんぴょう,군표,
軍部,ぐんぶ,군 당국,
軍法会議,ぐんぽうかいぎ,군사 재판,
軍務,ぐんむ,군사 사무,
軍用,ぐんよう,군사용,
郡部,ぐんぶ,농촌 지역,
袈裟,けさ,가사야 걸치기,
係官,かかりかん,책임자,
係争,けいそう,분쟁,
係長,かかりちょう,소과장,
係留,けいりゅう,계류,
傾き,かたむき,경사면,
傾城,けいせい,아름다움,
傾注,けいちゅう,헌신,
傾聴,けいちょう,귀 기울임,
傾倒,けいとう,전념,
刑期,けいき,징역,
刑事事件,けいじじけん,형사 사건,
刑法,けいほう,형법,
刑務所,けいむしょ,감옥,
兄さん,にいさん,형,
兄貴,あにき,형,
兄姉,けいし,형제자매,
兄弟子,あにでし,선배 제자,
啓示,けいじ,계시,
啓発,けいはつ,깨달음,
啓蒙,けいもう,깨달음,
啓蟄,けいちつ,경칩,
型紙,かたがみ,패턴지,
型破り,かたやぶり,이상한,
契約書,けいやくしょ,계약서,
形骸,けいがい,무혼체,
形見,かたみ,기념품,
形式的,けいしきてき,공식적인,
形象,けいしょう,형태,
形状,けいじょう,형태,
形跡,けいせき,흔적,
形相,ぎょうそう,표정,
形容,けいよう,묘사,
恵比寿,えびす,에비스,
慶事,けいじ,경사,
慶祝,けいしゅく,축하,
慶弔,けいちょう,축조,
憩い,いこい,휴식,
掲示板,けいじばん,게시판,
掲揚,けいよう,게양,
携行,けいこう,휴대,
携帯電話,けいたいでんわ,휴대전화,
敬愛,けいあい,존경과 애정,
敬遠,けいえん,겉치레 존경,
敬称,けいしょう,존칭,
敬礼,けいれい,경례,
敬老,けいろう,노인 공경,
景観,けいかん,경치,
景況,けいきょう,상황,
景勝,けいしょう,그림 같은 경치,
景品,けいひん,선물,
渓谷,けいこく,계곡,
渓流,けいりゅう,산골짜기,
系図,けいず,가계도,
系統的,けいとうてき,체계적인,
系譜,けいふ,족보,
系列,けいれつ,연속,
経営者,けいえいしゃ,관리자,
経験者,けいけんしゃ,경험자,
経口,けいこう,경구 복용,
経済界,けいざいかい,경제계,
経済学,けいざいがく,경제학,
経典,きょうてん,성서,
経理,けいり,회계,
継ぎ接ぎ,つぎはぎ,옷 수선,
継承,けいしょう,상속,
継投,けいとう,구원 투수,
継母,ままはは,계모,
計らい,はからい,배열,
計算書,けいさんしょ,계산서,
計上,けいじょう,포함 계산,
計測,けいそく,측정,
計量,けいりょう,측정,
警句,けいく,격언,
警護,けいご,보디가드,
警察官,けいさつかん,경찰관,
警察署,けいさつしょ,경찰서,
警察庁,けいさつちょう,경찰청,
警視,けいし,경찰서장,
警視庁,けいしちょう,도경찰청,
警鐘,けいしょう,경보,
警笛,けいてき,경적,
警報,けいほう,경고,
警棒,けいぼう,경찰봉,
警務,けいむ,경찰 업무,
軽音楽,けいおんがく,경음악,
軽機関銃,けいきかんじゅう,경기관총,
軽金属,けいきんぞく,경금속,
軽口,かるくち,수다스러운,
軽工業,けいこうぎょう,경공업,
軽視,けいし,경시,
軽傷,けいしょう,경상,
軽症,けいしょう,경증 질환,
軽食,けいしょく,가벼운 식사,
軽震,けいしん,약한 지진,
軽石,かるいし,경석,
軽装,けいそう,가벼운 옷,
軽度,けいど,경미한,
軽薄,けいはく,경박한,
軽犯罪,けいはんざい,경범죄,
軽妙,けいみょう,가볍고 쉬운,
軽油,けいゆ,경유,
軽量,けいりょう,경량,
鶏卵,けいらん,닭알,
芸者,げいしゃ,게이샤,
芸術家,げいじゅつか,예술가,
芸術的,げいじゅつてき,예술적인,
芸人,げいにん,코미디언,
芸能人,げいのうじん,연예인,
芸風,げいふう,연기 스타일,
芸名,げいめい,예명,
迎撃,げいげき,차단,
迎合,げいごう,아첨,
迎賓館,げいひんかん,접견실,
鯨肉,げいにく,고래 고기,
劇映画,げきえいが,영화 드라마,
劇化,げきか,극화,
劇作,げきさく,희곡 집필,
劇的,げきてき,극적인,
劇評,げきひょう,극평,
劇薬,げきやく,강한 약,
撃退,げきたい,격퇴,
撃沈,げきちん,격침,
撃墜,げきつい,격추,
撃破,げきは,격파,
激化,げきか,강화,
激減,げきげん,급감,
激賞,げきしょう,칭찬,
激情,げきじょう,격한 감정,
激戦,げきせん,치열한 전투,
激怒,げきど,분노,
激闘,げきとう,격렬한 싸움,
激動,げきどう,격렬한 충격,
激突,げきとつ,충돌,
激流,げきりゅう,격류,
激烈,げきれつ,폭력,
傑出,けっしゅつ,탁월함,
欠員,けついん,공석,
欠勤,けっきん,결근,
欠航,けっこう,취소,
欠伸,あくび,하품,
欠損,けっそん,적자,
欠如,けつじょ,부족,
欠片,かけら,조각,
欠落,けつらく,부족,
決まり文句,きまりもんく,관용구,
決め手,きめて,결정자,
決壊,けっかい,파열,
決済,けっさい,결제,
決裁,けっさい,제재,
決死,けっし,죽음 준비,
決勝戦,けっしょうせん,챔피언전,
決戦,けっせん,결전,
決定的,けっていてき,명확한,
決闘,けっとう,결투,
決別,けつべつ,이별,
決裂,けつれつ,결렬,
潔白,けっぱく,무죄,
潔癖,けっぺき,까다로움,
穴熊,あなぐま,오소리,
穴場,あなば,숨은 명소,
穴埋め,あなうめ,구멍 메우기,
結びつき,むすびつき,연결,
結果論,けっかろん,사후 판단 의견,
結婚式,けっこんしき,결혼식,
結社,けっしゃ,협회,
結集,けっしゅう,집중,
結審,けっしん,재판 종결,
結節,けっせつ,매듭,
結託,けったく,음모,
結党,けっとう,정당 결성,
結納,ゆいのう,약혼식,
結末,けつまつ,끝,
血液型,けつえきがた,혈액형,
血縁,けつえん,혈연 관계,
血眼,ちまなこ,충혈된 눈,
血筋,ちすじ,혈통,
血行,けっこう,혈액 순환,
血痕,けっこん,혈흔,
血色,けっしょく,안색,
血相,けっそう,표현,
血族,けつぞく,혈족,
血糖,けっとう,혈당,
血統,けっとう,혈통,
血肉,けつにく,혈족,
月額,げつがく,월별 합계,
月刊,げっかん,월간 간행물,
月間,げっかん,한 달 기간,
月桂冠,げっけいかん,월계관,
月経,げっけい,월경,
月見,つきみ,달구경,
月光,げっこう,달빛,
月収,げっしゅう,월수입,
月初め,つきはじめ,월초,
月報,げっぽう,월간 보고서,
月面,げつめん,달 표면,
月夜,つきよ,달빛 밤,
月例,げつれい,월간의,
件数,けんすう,건수,
倦怠,けんたい,피로,
健気,けなげ,감탄할 만한,
健脚,けんきゃく,잘 걷는 사람,
健康診断,けんこうしんだん,건강 검진,
健康的,けんこうてき,위생적인,
健康保険,けんこうほけん,건강 보험,
検診,けんしん,건강 진단,
健闘,けんとう,용감한 싸움,
健筆,けんぴつ,강력한 펜,
兼ね合い,かねあい,균형,
兼営,けんえい,동시 진행,
兼業農家,けんぎょうのうか,겸작 농부,
兼職,けんしょく,겸임,
兼任,けんにん,겸직,
兼務,けんむ,겸직,
剣客,けんかく,명검객,
剣劇,けんげき,검술,
剣豪,けんごう,대검객,
剣士,けんし,검객,
剣道,けんどう,검도,
喧騒,けんそう,소란,
圏外,けんがい,외부,
圏内,けんない,내부,
堅固,けんご,고체,
堅持,けんじ,고수,
堅調,けんちょう,견고한 시장,
嫌がらせ,いやがらせ,괴롭힘,
嫌悪,けんお,혐오,
嫌疑,けんぎ,의심,
建議,けんぎ,제안,
建具,たてぐ,개폐 부속품,
建国,けんこく,건국,
建材,けんざい,건축 자재,
建設的,けんせつてき,건설적인,
建造,けんぞう,건물,
建造物,けんぞうぶつ,구조물,
建築家,けんちくか,건축가,
建立,こんりゅう,건축 행위,
憲章,けんしょう,헌장,
憲政,けんせい,입헌 정부,
憲兵,けんぺい,헌병,
懸案,けんあん,미결 문제,
懸垂,けんすい,턱걸이 운동,
懸念,けねん,걱정,
拳骨,げんこつ,주먹,
拳銃,けんじゅう,권총,
拳法,けんぽう,중국 무술,
検疫,けんえき,검역,
検閲,けんえつ,검열,
検挙,けんきょ,체포,
検索,けんさく,조회,
検察,けんさつ,형사 수사,
検出,けんしゅつ,탐지,
検証,けんしょう,검증,
検針,けんしん,계량기 점검,
検定,けんてい,공식 인증,
検便,けんべん,대변 검사,
検問,けんもん,검사,
権益,けんえき,이익,
権化,ごんげ,구체화,
権勢,けんせい,힘,
犬猿の仲,けんえんのなか,비가 억수같이 내리는,
献金,けんきん,기부,
献血,けんけつ,헌혈,
献上,けんじょう,제출,
献身,けんしん,헌신,
献体,けんたい,시신 기증,
研究員,けんきゅういん,연구자,
研究者,けんきゅうしゃ,연구자,
研修員,けんしゅういん,연수생,
研鑽,けんさん,열심히 공부함,
絹織物,きぬおりもの,비단 제품,
絹布,けんぷ,비단,
県営,けんえい,현 관리 하에,
県下,けんか,현 내에,
県会,けんかい,현 의회,
県議,けんぎ,현 의원,
県警,けんけい,현 경찰,
県知事,けんちじ,현 지사,
県道,けんどう,현 도로,
県内,けんない,현 내에서,
県民,けんみん,현 주민,
県立,けんりつ,현의,
肩こり,かたこり,목 뻣뻣함,
肩身,かたみ,어깨,
肩入れ,かたいれ,지지하다,
肩幅,かたはば,어깨 너비,
見せしめ,みせしめ,교훈 삼음,
見せ掛け,みせかけ,외관상의,
見世物,みせもの,전시,
見開き,みひらき,양면 펼침,
見殺し,みごろし,도움 없이 죽게 놔둠,
見識,けんしき,견해,
見出し語,みだしご,표제어,
見切り,みきり,포기,
見知らぬ,みしらぬ,이상한,
見直し,みなおし,검토,
見物人,けんぶつにん,관중,
見聞,けんぶん,정보,
見聞き,みきき,정보,
見返り,みかえり,보상,
見本市,みほんいち,무역 박람회,
見劣り,みおとり,불리한 비교,
賢者,けんじゃ,현명한 사람,
賢人,けんじん,현명한 사람,
賢母,けんぼ,현명한 어머니,
軒下,のきした,처마 밑,
軒先,のきさき,처마 끝,
鍵盤,けんばん,건반,
険悪,けんあく,위험한,
顕在,けんざい,실제의,
顕彰,けんしょう,공공 기림,
顕著,けんちょ,주목할 만한,
元号,げんごう,연호 이름,
元手,もとで,수도,
元帥,げんすい,원수,
元祖,がんそ,창시자,
元旦,がんたん,설날,
元帳,もとちょう,원장부,
元通り,もとどおり,전과 같이,
元締め,もとじめ,관리자,
元本,がんぽん,교장,
元老,げんろう,원로 정치가,
原案,げんあん,원안,
原画,げんが,원화,
原義,げんぎ,본래 의미,
原語,げんご,원어,
原稿用紙,げんこうようし,원고지,
原材料,げんざいりょう,원료,
原産地,げんさんち,원산지,
原始人,げんしじん,원시인,
原子爆弾,げんしばくだん,원자폭탄,
原子力,げんしりょく,원자력,
原子炉,げんしろ,원자로,
原紙,げんし,원판,
原種,げんしゅ,종자,
原住民,げんじゅうみん,원주민,
原色,げんしょく,원색,
原審,げんしん,원문장,
原人,げんじん,원시인,
原水爆,げんすいばく,원자 및 수소폭탄,
原寸,げんすん,실물 크기,
原生,げんせい,원시의,
原潜,げんせん,핵 잠수함,
原著,げんちょ,원작,
原動機,げんどうき,모터,
原動力,げんどうりょく,동력,
原発,げんぱつ,원자력 발전소,
原版,げんぱん,인쇄용 활자판,
原付,げんつき,원동기장치 자전거,
原簿,げんぼ,원장부,
原本,げんぽん,원본,
原木,げんぼく,펄프용 목재,
原野,げんや,황무지,
厳戒,げんかい,엄중한 경비,
厳格,げんかく,엄격한,
厳寒,げんかん,혹한,
厳禁,げんきん,엄금,
厳守,げんしゅ,엄수,
厳粛,げんしゅく,무덤,
厳正,げんせい,엄격한,
厳選,げんせん,엄선,
厳冬,げんとう,혹한기,
厳罰,げんばつ,엄벌,
幻影,げんえい,유령,
幻覚,げんかく,환각,
幻想,げんそう,환상,
幻滅,げんめつ,환멸,
幻惑,げんわく,매혹,
弦楽,げんがく,현악곡,
弦楽器,げんがっき,현악기,
減圧,げんあつ,감압,
減額,げんがく,감소,
減刑,げんけい,감형,
減産,げんさん,생산 감소,
減収,げんしゅう,하락,
減食,げんしょく,식사량 감소,
減衰,げんすい,감쇠,
減税,げんぜい,감세,
減速,げんそく,감속,
減退,げんたい,쇠퇴,
減配,げんぱい,배당 감소,
減反,げんたん,수확 감소,
減俸,げんぽう,급여 삭감,
減免,げんめん,감면,
減量,げんりょう,체중 감소,
源泉,げんせん,원천,
源流,げんりゅう,근원,
玄米,げんまい,도정 전 쌀,
現況,げんきょう,현재 상태,
現業,げんぎょう,현장 작업,
現時点,げんじてん,현재 시점,
現実的,げんじつてき,현실적인,
現住所,げんじゅうしょ,현 주소,
現職,げんしょく,현 직위,
現世,げんせ,현시대,
現物,げんぶつ,실물,
現役,げんえき,현역,
言い回し,いいまわし,표현,
言い分,いいぶん,발언권,
言い方,いいかた,표현 방식,
言外,げんがい,미표현,
言及,げんきゅう,참고,
言語道断,ごんごどうだん,터무니없는,
言行,げんこう,언행,
言質,げんち,헌신,
言動,げんどう,언행,
言明,げんめい,선언,
限度額,げんどがく,한도,
個室,こしつ,1인실,
個人差,こじんさ,개인차,
個人主義,こじんしゅぎ,개인주의,
個人的,こじんてき,개인적인,
個性的,こせいてき,개인,
個展,こてん,개인전,
古語,こご,고어,
古豪,こごう,베테랑,
古今,ここん,고금,
古参,こさん,고위의,
古式,こしき,구식,
古手,ふるて,중고품,
古書,こしょ,고서,
古城,こじょう,옛 성,
古生物,こせいぶつ,멸종 동식물,
古巣,ふるす,옛터,
古着,ふるぎ,헌 옷,
古典的,こてんてき,고전적인,
古都,こと,고대 도시,
古風,こふう,구식의,
古米,こまい,묵은 쌀,
古本屋,ふるほんや,중고 서점,
古木,こぼく,고목,
古来,こらい,예로부터,
古老,ころう,노인(과거에 밝은),
呼び捨て,よびすて,반말,
呼び水,よびみず,선행 투자,
呼び声,よびごえ,부름,
呼応,こおう,호칭,
呼称,こしょう,이름,
固め,かため,경화,
固化,こか,고화,
固形,こけい,고체,
固辞,こじ,단호한 거절,
固定観念,こていかんねん,고정관념,
固定資産,こていしさん,고정 자산,
姑息,こそく,은밀한,
孤児院,こじいん,고아원,
孤島,ことう,외딴섬,
戸外,こがい,야외,
戸口,とぐち,문,
戸数,こすう,가구 수,
戸締まり,とじまり,잠금,
戸板,といた,미닫이문,
戸別,こべつ,집집마다,
戸惑い,とまどい,항해 중,
故意,こい,의도,
故国,ここく,고향,
故事,こじ,역사적 사건,
枯れ枝,かれえだ,죽은 가지,
枯死,こし,시듦,
湖沼,こしょう,호수,
湖水,こすい,호수,
湖畔,こはん,호숫가,
胡坐,あぐら,앉아 다리 꼬기,
胡桃,くるみ,호두,
胡麻,ごま,참깨,
誇示,こじ,과시,
誇大,こだい,과장,
顧問,こもん,조언자,
鼓動,こどう,때림,
鼓舞,こぶ,격려,
五感,ごかん,오감,
五月晴れ,さつきばれ,장마철 맑은 날씨,
五人組,ごにんぐみ,오가구 단위,
五体,ごたい,전신,
五分,ごぶ,절반,
五分五分,ごぶごぶ,아마도,
五目,ごもく,오미료,
互い違い,たがいちがい,교대,
互角,ごかく,동등한,
互換,ごかん,교환,
互助,ごじょ,상호 원조,
互選,ごせん,상호 선출,
午前中,ごぜんちゅう,아침에,
呉越同舟,ごえつどうしゅう,원수지간,
呉服,ごふく,옷감,
後ろ姿,うしろすがた,뒷모습,
後ろ盾,うしろだて,후원,
後援,こうえん,지지하다,
後押し,あとおし,밀침,
後期,こうき,후기,
後記,こうき,후기,
後継,こうけい,계승,
後見,こうけん,후견,
後ろ向き,うしろむき,뒤를 향함,
後妻,ごさい,후처,
後始末,あとしまつ,해결,
後手,ごて,주도권 상실,
後書き,あとがき,후기,
後進国,こうしんこく,후진국,
後世,こうせい,후세,
後生大事,ごしょうだいじ,종교적 열성,
後続,こうぞく,계승하는,
後追い,あとおい,뒤따름,
後天的,こうてんてき,후천적,
後日,ごじつ,미래에,
後任,こうにん,후계자,
後年,こうねん,미래의 해들,
後発,こうはつ,늦게 시작함,
後半,こうはん,후반,
後半生,こうはんせい,인생 후반,
後部,こうぶ,뒤쪽,
後払い,あとばらい,연체금,
後片付け,あとかたづけ,정리,
後編,こうへん,후반부,
後方,こうほう,뒤쪽,
後味,あとあじ,뒷맛,
後戻り,あともどり,뒤로 감,
後列,こうれつ,뒷줄,
御苑,ぎょえん,황실 정원,
ご協力,ごきょうりょく,협력,
御社,おんしゃ,귀사,
御所,ごしょ,황궁,
御神籤,おみくじ,운세 뽑기,
お節介,おせっかい,참견,
御曹司,おんぞうし,명문가 자제,
お中元,おちゅうげん,하계 선물,
お釣り,おつり,잔돈,
御殿,ごてん,궁전,
お年玉,おとしだま,세뱃돈,
ご飯,ごはん,밥,
ご無沙汰,ごぶさた,잠시 연락 끊음,
神輿,みこし,미코시,
御用,ごよう,당신 일,
ご覧,ごらん,봄,
ご連絡,ごれんらく,접촉,
お襁褓,おむつ,기저귀,
悟り,さとり,이해,
語り,かたり,이야기,
語り口,かたりくち,낭송법,
語り手,かたりて,내레이터,
語感,ごかん,언어 감각,
語気,ごき,음색,
語数,ごすう,단어 수,
語尾,ごび,문장 끝,
語録,ごろく,논어,
誤算,ごさん,오산,
誤字,ごじ,오자,
誤植,ごしょく,오자,
誤診,ごしん,오진단,
誤認,ごにん,오인,
誤報,ごほう,허위 보고,
誤訳,ごやく,오역,
誤用,ごよう,오용,
護岸,ごがん,제방,
護憲,ごけん,헌법 수호,
護持,ごじ,방어 및 유지,
護身,ごしん,자기 방어,
護送,ごそう,호위,
乞食,こじき,거지,
交わり,まじわり,지인,
交換手,こうかんしゅ,교환원,
交歓,こうかん,예의 교환,
交際費,こうさいひ,접대비,
交錯,こうさく,혼합물,
交信,こうしん,통신,
交戦,こうせん,전쟁,
交戦国,こうせんこく,교전국,
交通事故,こうつうじこ,교통사고,
交通費,こうつうひ,여비,
交通網,こうつうもう,교통망,
交配,こうはい,교미,
交尾,こうび,동물의 교접,
交友,こうゆう,친구,
交遊,こうゆう,우정,
侯爵,こうしゃく,후작,
候補者,こうほしゃ,후보자,
光栄,こうえい,명예,
光学,こうがく,광학,
光輝,こうき,밝기,
光源,こうげん,광원,
光合成,こうごうせい,광합성,
光彩,こうさい,광휘,
光速,こうそく,광속,
光明,こうみょう,밝은 빛,
公安,こうあん,공공 평화,
公営,こうえい,공공 경영,
公益,こうえき,공익,
公益法人,こうえきほうじん,공익 법인,
公会,こうかい,공개 회의,
公会堂,こうかいどう,시청,
公海,こうかい,공해,
公館,こうかん,관사,
公器,こうき,공공 기관,
公金,こうきん,공공 자금,
公言,こうげん,선언,
公庫,こうこ,금융 공사,
公告,こうこく,공고,
公債,こうさい,공채,
公算,こうさん,확률,
公使,こうし,사절,
公司,こんす,회사(중국),
公子,こうし,젊은 귀족,
公私,こうし,공사,
公示,こうじ,공고,
公社,こうしゃ,공사 법인,
公社債,こうしゃさい,공채,
公爵,こうしゃく,왕자,
公衆電話,こうしゅうでんわ,공중전화,
公称,こうしょう,공고,
公証人,こうしょうにん,공증인,
公職,こうしょく,공직,
公人,こうじん,공적 성격,
公設,こうせつ,공공(기관),
公選,こうせん,공직 선거,
公聴会,こうちょうかい,공청회,
公定,こうてい,"공식(요금, 가격)",
公邸,こうてい,관사,
公的,こうてき,공공의,
公電,こうでん,공식 전보,
公党,こうとう,정당,
公道,こうどう,공도,
公判,こうはん,공청회,
公費,こうひ,공공 경비,
公布,こうふ,공식 선포,
公文,こうぶん,공문서,
公文書,こうぶんしょ,공문서,
公報,こうほう,공보,
公僕,こうぼく,공무원,
公民,こうみん,시민,
公民館,こうみんかん,공회당,
公民権,こうみんけん,시민권,
公明,こうめい,공정,
公明正大,こうめいせいだい,공정한,
公約,こうやく,공적 약속,
公有,こうゆう,공유,
公用文,こうようぶん,공식 용어,
公論,こうろん,여론,
功罪,こうざい,장단점,
功名,こうみょう,위대한 업적,
功労,こうろう,공적 행위,
効果的,こうかてき,효과적인,
効能,こうのう,효과,
効用,こうよう,사용,
効率的,こうりつてき,능률적인,
勾配,こうばい,경사면,
厚さ,あつさ,두께,
厚意,こうい,친절,
厚化粧,あつげしょう,진한 화장,
厚遇,こうぐう,진심 어린 환영,
厚紙,あつがみ,판지,
厚手,あつで,두꺼운,
厚生,こうせい,복지,
厚生年金,こうせいねんきん,복지 연금,
厚相,こうしょう,복지부 장관,
厚着,あつぎ,두꺼운 옷 착용,
厚板,あついた,두꺼운 판자,
厚み,あつみ,두께,
口コミ,くちこみ,구전,
口火,くちび,융합하다,
口角,こうかく,입가,
口金,くちがね,금속 캡,
口径,こうけい,조리개,
口語,こうご,구어,
口座,こうざ,계좌,
口止め,くちどめ,언급 금지,
口臭,こうしゅう,입 냄새,
口出し,くちだし,참견,
口上,こうじょう,음성 메시지,
口ぶり,くちぶり,말투,
口切り,くちきり,화제 꺼냄,
口先,くちさき,입만 살림,
口中,こうちゅう,입 안,
口調,くちょう,음성 톤,
口笛,くちぶえ,휘파람 소리,
口当たり,くちあたり,맛,
口答え,くちごたえ,응수,
口癖,くちぐせ,애창구,
口約束,くちやくそく,구두 약속,
口利き,くちきき,중재,
口論,こうろん,언쟁,
向学心,こうがくしん,학문 사랑,
向後,こうご,내세,
坑口,こうこう,갱구,
坑道,こうどう,터널,
坑内,こうない,갱내,
好演,こうえん,좋은 성과,
好感,こうかん,좋은 느낌,
好奇心,こうきしん,호기심,
好機,こうき,좋은 기회,
好色,こうしょく,음란,
好転,こうてん,개선,
好都合,こうつごう,편리한,
好投,こうとう,좋은 투구,
好物,こうぶつ,좋아하는 요리,
好例,こうれい,좋은 본보기,
孔雀,くじゃく,공작,
工科,こうか,공학 과정,
工具,こうぐ,도구,
工作機械,こうさくきかい,공작 기계,
工事中,こうじちゅう,공사 중,
工賃,こうちん,노무비,
工程,こうてい,과정,
工費,こうひ,공사비,
工兵,こうへい,공병,
工法,こうほう,공사 방법,
工房,こうぼう,작업장,
工務,こうむ,공학,
工面,くめん,고안,
巧者,こうしゃ,재주,
巧拙,こうせつ,기술,
広がり,ひろがり,확산,
広域,こういき,광역,
広角,こうかく,광각,
広義,こうぎ,넓은 의미,
広州,こうしゅう,광저우,
広大,こうだい,광대함,
広東,かんとん,광둥,
広範,こうはん,넓은,
広範囲,こうはんい,광범위한,
広野,こうや,넓은 평야,
恒久,こうきゅう,영속성,
恒常,こうじょう,불변성,
恒例,こうれい,관례,
抗菌,こうきん,항균성,
抗原,こうげん,항원,
抗日,こうにち,일본 침략 저항,
抗弁,こうべん,항의,
拘禁,こうきん,구금,
拘置,こうち,구금,
拘置所,こうちしょ,감옥,
拘留,こうりゅう,감금,
控え,ひかえ,예약,
控えめ,ひかえめ,적당한,
攻守,こうしゅ,공격과 방어,
攻勢,こうせい,공격(운동),
攻防,こうぼう,공격과 방어,
攻略,こうりゃく,점령,
更衣室,こういしつ,탈의실,
更改,こうかい,갱신,
更新,こうしん,갱신,
更正,こうせい,수정,
更生,こうせい,재활,
更迭,こうてつ,인사 이동,
更年期,こうねんき,폐경,
校医,こうい,학교 의사,
校閲,こうえつ,개정,
校歌,こうか,교가,
校外,こうがい,학교 밖,
校旗,こうき,교기,
校章,こうしょう,교장 배지,
校正,こうせい,교정,
校則,こうそく,학교 규칙,
校内,こうない,교내,
校門,こうもん,학교 정문,
校友,こうゆう,동급생,
梗塞,こうそく,중단,
構図,こうず,구도,
構築,こうちく,건설,
構内,こうない,부지,
江戸っ子,えどっこ,진짜 도쿄 사람,
港内,こうない,항내,
港湾,こうわん,항구,
甲乙,こうおつ,"일, 이등급",
甲種,こうしゅ,A급,
甲斐,かい,성과,
甲羅,こうら,껍데기,
甲冑,かっちゅう,갑옷과 투구,
皇位,こうい,황위,
皇后,こうごう,황후,
皇子,おうじ,황태자,
皇室,こうしつ,황실,
皇女,こうじょ,공주,
皇族,こうぞく,황실 가족,
皇太后,こうたいごう,황태후,
皇太子,こうたいし,황태자,
皇太子妃,こうたいしひ,황태자비,
皇帝,こうてい,황제,
硬化,こうか,경화,
硬骨,こうこつ,뼈,
硬式,こうしき,단단한,
硬質,こうしつ,경도,
硬直,こうちょく,강화,
硬度,こうど,경도,
硬軟,こうなん,경도와 연도,
硬派,こうは,강경파,
稿料,こうりょう,원고료,
紅花,べにばな,홍화,
紅海,こうかい,홍해,
紅梅,こうばい,홍매화,
紅白,こうはく,홍백,
絞り,しぼり,시보리,
絞殺,こうさつ,목 졸라 죽임,
絞首刑,こうしゅけい,교수형,
綱引き,つなひき,줄다리기,
綱紀,こうき,법과 질서,
綱紀粛正,こうきしゅくせい,공무 집행,
綱渡り,つなわたり,줄타기,
綱領,こうりょう,총괄 계획,
考え方,かんがえかた,사고방식,
考案,こうあん,계획,
考査,こうさ,시험,
考察,こうさつ,배려,
考証,こうしょう,사료 조사,
航空会社,こうくうがいしゃ,항공사,
航空機,こうくうき,항공기,
航空券,こうくうけん,항공권,
航空便,こうくうびん,항공 우편,
航空母艦,こうくうぼかん,항공모함,
航行,こうこう,유람선 여행,
航跡,こうせき,선박의 물결 자국,
航法,こうほう,항해,
航路,こうろ,항로,
荒稼ぎ,あらかせぎ,큰 이익,
荒海,あらうみ,거친 바다,
荒城,こうじょう,폐성,
荒天,こうてん,폭풍우,
荒唐無稽,こうとうむけい,터무니없는,
荒波,あらなみ,거센 파도,
荒木,あらき,나무껍질 통나무,
行き先,いきさき,목적지,
行く手,ゆくて,길,
行革,ぎょうかく,행정 개혁,
行楽,こうらく,소풍,
行間,ぎょうかん,행간,
行脚,あんぎゃ,도보 여행,
行使,こうし,사용,
行者,ぎょうじゃ,수도자,
行書,ぎょうしょ,행서,
行商,ぎょうしょう,상인,
行政官,ぎょうせいかん,임원,
行程,こうてい,여행,
行方不明,ゆくえふめい,실종,
講演会,こうえんかい,강연,
講座,こうざ,강의 과정,
講談,こうだん,극적 이야기,
講評,こうひょう,비평,
講話,こうわ,강의,
酵母,こうぼ,효모,
鉱床,こうしょう,광상,
鉱石,こうせき,광석,
鉱脈,こうみゃく,광맥,
鋼管,こうかん,강관,
鋼材,こうざい,강재,
鋼鉄,こうてつ,강철,
降雨,こうう,강우량,
降下,こうか,강하,
降参,こうさん,항복,
降水量,こうすいりょう,강수량,
降雪,こうせつ,강설량,
香気,こうき,향기,
香港,ほんこん,홍콩,
香典,こうでん,조의금,
香味,こうみ,후각과 미각,
香料,こうりょう,조미료,
香炉,こうろ,향로,
高さ,たかさ,높이,
高み,たかみ,높이,
高圧,こうあつ,고전압,
高位,こうい,위엄,
高温,こうおん,고온,
高音,こうおん,고음,
高架,こうか,고가 구조물,
高額,こうがく,거액,
高官,こうかん,고위 관료,
高感度,こうかんど,고감도,
高機能,こうきのう,고기능,
高貴,こうき,고귀한,
高給,こうきゅう,고액 연봉,
高空,こうくう,고지대,
高潔,こうけつ,고귀한,
高見,こうけん,당신의 견해,
高山,こうざん,고산,
高山病,こうざんびょう,고산병,
高射特科,こうしゃとっか,대공포,
高射砲,こうしゃほう,대공포,
高周波,こうしゅうは,고주파,
高水準,こうすいじゅん,고수준,
高性能,こうせいのう,고효율,
高精度,こうせいど,고정밀,
高専,こうせん,공과대학,
高僧,こうそう,대사제,
高速道路,こうそくどうろ,고속도로,
高卒,こうそつ,고등학교 졸업,
高台,たかだい,고지대,
高値,たかね,고가,
高地,こうち,고지대,
高潮,こうちょう,만조,
高低,こうてい,고저,
高騰,こうとう,급등,
